Object Name,Discovery Year,host name
K2-244 b,2021,TOI-1173
K2-245,2011,K2-245
K2-245 b,2011,GJ 649
K2-246,2011,K2-246
K2-246 b,2011,VHS J125601.92-125723.9
K2-247,2011,K2-247
K2-247 b,2017,WASP-103
K2-247 c,2025,TOI-139
K2-248,2004,K2-248
K2-248 b,2004,EPIC 228836835
K2-249,2012,K2-249
K2-249 b,2012,K2-326
K2-25,2008,K2-25
K2-25 b,2008,HAT-P-42
K2-250,2017,K2-250
K2-250 b,2017,HAT-P-43
K2-251,1999,K2-251
K2-251 b,1999,CoRoT-14
K2-252,2019,K2-252
K2-252 b,2019,EPIC 201757695
K2-253,1998,K2-253
K2-253 b,1998,HATS-17
K2-254,2007,K2-254
K2-254 b,2007,HATS-18
K2-254 c,2021,K2-197
K2-255,2018,K2-255
K2-255 b,2018,GJ 3512
K2-257,2019,K2-257
K2-257 b,2019,Kepler-825
K2-258,2005,K2-258
K2-258 b,2005,EPIC 229004835
K2-259,2009,K2-259
K2-259 b,2009,HD 99109
K2-26,2001,K2-26
K2-26 b,2001,K2-198
K2-260,2021,K2-260
K2-260 b,2021,IRAS 04125+2902
K2-261,2022,K2-261
K2-261 b,2022,KMT-2022-BLG-2286L
K2-263,2019,K2-263
K2-263 b,2019,BD+03 2562
K2-264,2019,K2-264
K2-264 b,2019,Kepler-738
K2-264 c,2019,Kepler-597
K2-265,2016,K2-265
K2-265 b,2016,K2-58
K2-266,2018,K2-266
K2-266 b,2018,HATS-47
K2-266 c,2018,HATS-58 A
K2-266 d,2018,GJ 3779
K2-266 e,2018,GJ 251
K2-268,2024,K2-268
K2-268 b,2024,NGC 2682 Sand 978
K2-268 c,2009,Qatar-6
K2-268 d,2009,K2-13
K2-268 e,2002,HAT-P-44
K2-268 f,2002,K2-130
K2-269,2020,K2-269
K2-269 b,2020,KMT-2019-BLG-1042L
K2-27,2020,K2-27
K2-27 b,2020,KMT-2021-BLG-1554L
K2-270,2015,K2-270
K2-270 b,2015,HAT-P-16
K2-270 c,2003,GJ 143
K2-271,2019,K2-271
K2-271 b,2019,MOA-2010-BLG-117L
K2-272,2019,K2-272
K2-272 b,2019,Kepler-758
K2-273,1998,K2-273
K2-273 b,1998,HATS-2
K2-274,1998,K2-274
K2-274 b,2005,HIP 65426
K2-275,2019,K2-275
K2-275 b,2019,HD 94771
K2-275 c,2011,K2-390
K2-276,2011,K2-276
K2-276 b,2022,OGLE-2007-BLG-368L
K2-277,2022,K2-277
K2-277 b,2022,EPIC 246851721
K2-278,2010,K2-278
K2-278 b,2010,Kepler-602
K2-279,2012,K2-279
K2-279 b,2012,K2-329
K2-28,2015,K2-28
K2-28 b,2015,EPIC 201170410
K2-280,2015,K2-280
K2-280 b,2015,GJ 229
K2-281,2015,K2-281
K2-281 b,2015,DMPP-1
K2-282,2019,K2-282
K2-282 b,2015,HAT-P-55
K2-283,2015,K2-283
K2-283 b,2015,KMT-2017-BLG-1003L
K2-284,2015,K2-284
K2-284 b,2015,K2-237
K2-285,2021,K2-285
K2-285 b,2021,GJ 357
K2-285 c,2012,HAT-P-17
K2-285 d,2018,Kepler-767
K2-285 e,2007,Kepler-744
K2-286,2007,K2-286
K2-286 b,2016,K2-413
K2-287,2012,K2-287
K2-287 b,2012,K2-414
K2-288,2018,K2-288 B
K2-288 B b,2018,Kepler-603
K2-289,2012,K2-289
K2-289 b,2012,HAT-P-45
K2-29,2011,K2-29
K2-29 b,2011,HATS-22
K2-290,2016,K2-290
K2-290 b,2016,ITG 15 A
K2-290 c,2007,K2-10
K2-291,2019,K2-291
K2-291 b,2019,Kepler-608
K2-292,2019,K2-292
K2-292 b,2019,K2-84
K2-293,2016,K2-293
K2-293 b,2016,HATS-54
K2-294,2016,K2-294
K2-294 b,2016,HATS-55
K2-295,2011,K2-295
K2-295 b,2011,HD 10647
K2-3,2024,K2-3
K2-3 b,2024,K2-199
K2-3 c,1999,K2-27
K2-3 d,2016,K2-238
K2-30,2006,K2-30
K2-30 b,2006,GJ 3634
K2-308,2021,K2-308
K2-308 b,2021,TOI-5616
K2-31,2022,K2-31
K2-31 b,2022,HD 106515 A
K2-312 c,2011,K2-391
K2-315,2023,K2-315
K2-315 b,2023,OGLE-2011-BLG-0251L
K2-316,2001,K2-316
K2-316 b,2001,HIP 65891
K2-316 c,2006,HATS-56
K2-317,2007,K2-317
K2-317 b,2007,HAT-P-46
K2-318,2013,K2-318
K2-318 b,2013,K2-239
K2-319,2018,K2-319
K2-319 b,2018,HATS-57
K2-32,2019,K2-32
K2-32 b,2019,WASP-121
K2-32 c,2019,XO-6
K2-32 d,2022,HIP 107773
K2-32 e,2022,HD 97658
K2-320,2019,K2-320
K2-320 b,2022,HATS-68
K2-321,2023,K2-321
K2-321 b,2023,TYC 8998-760-1
K2-322,2003,K2-322
K2-322 b,2003,K2-366
K2-323,2020,K2-323
K2-323 b,2020,OGLE-2018-BLG-0506L
K2-324,2018,K2-324
K2-324 b,2018,K2-200
K2-325,2009,K2-325
K2-325 b,2009,K2-201
K2-326,2011,K2-326
K2-326 b,2011,K2-415
K2-329,2006,K2-329
K2-329 b,2006,K2-131
K2-33,2006,K2-33
K2-33 b,2021,Kepler-60
K2-330,2015,K2-330
K2-330 b,2015,K2-392
K2-331,2019,K2-331
K2-331 b,2019,Kepler-857
K2-331 c,2019,K2-33
K2-332,2010,K2-332
K2-332 b,2010,GJ 887
K2-333,2023,K2-333
K2-333 b,2023,OGLE-2017-BLG-0448L
K2-334,2023,K2-334
K2-334 b,2023,HAT-P-2
K2-335,2020,K2-335
K2-335 b,2020,HD 99283
K2-336,2022,K2-336
K2-336 b,2022,Kepler-661
K2-337,2022,K2-337
K2-337 b,2022,K2-416
K2-338,2022,K2-338
K2-338 b,2022,HATS-2
K2-339,2022,K2-339
K2-339 b,2022,GJ 1214
K2-34,2021,K2-34
K2-34 b,2021,KELT-14
K2-340,2005,K2-340
K2-340 b,2005,EPIC 201841433
K2-341,2019,K2-341
K2-341 b,2019,BD-14 3065 A
K2-342,2000,K2-342
K2-342 b,2000,HATS-58 A
K2-343,2012,K2-343
K2-343 b,2012,HATS-59
K2-343 c,2005,GJ 15 A
K2-344,2005,K2-344
K2-344 b,2017,Kepler-63
K2-345,2005,K2-345
K2-345 b,2017,K2-24
K2-346,2021,K2-346
K2-346 b,2021,K2-169
K2-347,2022,K2-347
K2-347 b,2022,TOI-6054
K2-348,2022,K2-348
K2-348 b,2022,Kepler-768
K2-348 c,2022,KMT-2018-BLG-0885L
K2-349,2001,K2-349
K2-349 b,2001,K2-2016-BLG-0005L
K2-35,2001,K2-35
K2-35 b,2022,K2-59
K2-35 c,2022,K2-417
K2-350,2010,K2-350
K2-350 b,2010,K2-132
K2-350 c,2017,K2-85
K2-351,2013,K2-351
K2-351 b,2013,HAT-P-18
K2-352,2008,K2-352
K2-352 b,2008,MOA-2007-BLG-192L
K2-352 c,2011,HATS-6
K2-352 d,2017,K2-17
K2-353,2009,K2-353
K2-353 b,2009,HD 99492
K2-354,2022,K2-354
K2-354 b,2022,HATS-60
K2-355,2013,K2-355
K2-355 b,2013,GJ 896 A
K2-356,2022,K2-356
K2-356 b,2022,K2-202
K2-357,2002,K2-357
K2-357 b,2002,K2-270
K2-358,2002,K2-358
K2-358 b,2016,K2-240
K2-36,2009,K2-36
K2-36 b,2009,HATS-23
K2-36 c,2014,EPIC 206024342
K2-360 c,2011,HATS-61
K2-365,2010,K2-365
K2-365 b,2010,GJ 160.2
K2-366,2019,K2-366
K2-366 b,2019,KMT-2018-BLG-1990L
K2-367,2019,K2-367
K2-367 b,2019,Kepler-802
K2-368,2019,K2-368
K2-368 b,2019,Kepler-858
K2-368 c,2016,CoRoT-17
K2-368 d,2016,KMT-2021-BLG-2609L
K2-369,2016,K2-369
K2-369 b,2017,WASP-92
K2-37,2016,K2-37
K2-37 b,2022,MOA-2007-BLG-400L
K2-37 c,2009,HIP 66074
K2-37 d,2015,HD 106906
K2-370,2004,K2-370
K2-370 b,2004,EPIC 206032309
K2-371,2021,K2-371
K2-371 b,2021,HATS-24
K2-372,2011,K2-372
K2-372 b,2011,HAT-P-49
K2-373,2011,K2-373
K2-373 b,2018,GJ 900 A
K2-374,2011,K2-374
K2-374 b,2022,Kepler-604
K2-374 c,2020,Kepler-611
K2-375,2006,K2-375
K2-375 b,2006,K2-330
K2-376,2005,K2-376
K2-376 b,2005,K2-331
K2-377,2015,K2-377
K2-377 b,2015,HD 10697
K2-378,2015,K2-378
K2-378 b,2015,HATS-62
K2-379,2009,K2-379
K2-379 b,2009,GJ 9066
K2-38,2009,K2-38
K2-38 b,2017,Kepler-624
K2-38 c,2017,Kepler-685
K2-380,2009,K2-380
K2-380 b,2017,Kepler-766
K2-381,2009,K2-381
K2-381 b,2017,Kepler-665
K2-381 c,2017,HATS-25
K2-381 d,2016,K2-133
K2-382,2021,K2-382
K2-382 b,2021,GJ 367
K2-383,2023,K2-383
K2-383 b,2023,K2-241
K2-384,2003,K2-384
K2-384 b,2003,Kepler-58
K2-384 c,2002,GJ 3779
K2-384 d,2002,GJ 163
K2-384 e,2005,GJ 3929
K2-384 f,2004,HIP 67522
K2-385,2004,K2-385
K2-385 b,2012,K2-100
K2-386,2021,K2-386
K2-386 b,2021,Kepler-621
K2-387,2010,K2-387
K2-387 b,2010,GJ 393
K2-388,2000,K2-388
K2-388 b,2000,GJ 179
K2-389,2000,K2-389
K2-389 b,2000,K2-332
K2-389 c,2009,K2-333
K2-39,2001,K2-39
K2-39 b,2001,K2-367
K2-390,2021,K2-390
K2-390 b,2021,2MASS J01033563-5515561 A
K2-391,2021,K2-391
K2-391 b,2021,ROXs 42 B
K2-392,2021,K2-392
K2-392 b,2021,2MASS J01225093-2439505
K2-393,2019,K2-393
K2-393 b,2019,LTT 9779
K2-394,2009,K2-394
K2-394 b,2009,2MASS J02192210-3925225
K2-395,2009,K2-395
K2-395 b,2009,OGLE-TR-10
K2-395 c,2009,KMT-2021-BLG-1547L
K2-396,2009,K2-396
K2-396 b,2013,TOI-871
K2-396 c,2013,OGLE-2016-BLG-1067L
K2-397,2017,K2-397
K2-397 b,2017,HIP 67537
K2-398,2002,K2-398
K2-398 b,2002,K2-170
K2-398 c,2004,HIP 67851
K2-4,2004,K2-4
K2-4 b,2003,K2-6
K2-400,2007,K2-400
K2-400 b,2007,HATS-63
K2-401,2017,K2-401
K2-401 b,2017,HATS-64
K2-402,2001,K2-402
K2-402 b,2001,HD 99706
K2-403,2001,K2-403
K2-403 b,2014,HIP 105854
K2-404,2001,K2-404
K2-404 b,2001,GJ 9404
K2-405,2016,K2-405
K2-405 b,2016,Kepler-799
K2-406,2023,K2-406
K2-406 b,2023,KIC 10001893
K2-407,2005,K2-407
K2-407 b,2005,Kepler-777
K2-407 c,2009,HD 107148
K2-408,2010,K2-408
K2-408 b,2010,EPIC 248847494
K2-409,2010,K2-409
K2-409 b,2022,K2-271
K2-411,2007,K2-411
K2-411 b,2007,HIP 70849
K2-412,2010,K2-412
K2-412 b,2010,GJ 180
K2-413,2019,K2-413
K2-413 b,2019,Kepler-85
K2-413 c,2019,KOI-4978
K2-414,2004,K2-414
K2-414 b,2004,HATS-65
K2-414 c,2008,Kepler-613
K2-415,2008,K2-415
K2-415 b,2008,EPIC 249893012
K2-416,2008,K2-416
K2-416 b,2008,EPIC 206042996
K2-417,2022,K2-417
K2-417 b,2022,KELT-15
K2-419,2000,K2-419 A
K2-419 A b,2000,Kepler-584
K2-42,2008,K2-42
K2-42 b,2008,Kepler-723
K2-43,2008,K2-43
K2-43 b,2008,K2-136
K2-43 c,2012,HD 108147
K2-44,2012,K2-44
K2-44 b,2012,K2-101
K2-45,2016,K2-45
K2-45 b,2016,HD 108202
K2-46,2016,K2-46
K2-46 b,2016,HATS-66
K2-47,2002,K2-47
K2-47 b,2002,K2-272
K2-48,2021,K2-48
K2-48 b,2021,K2-393
K2-49,2008,K2-49
K2-49 b,2008,HATS-67
K2-5,2024,K2-5
K2-5 b,2024,USco1556 A
K2-5 c,2024,OGLE-2012-BLG-0563L
K2-50,2019,K2-50
K2-50 b,2024,KMT-2018-BLG-1292L
K2-52,2018,K2-52
K2-52 b,2018,HATS-68
K2-53,2002,K2-53
K2-53 b,2002,Kepler-679
K2-54,2005,K2-54
K2-54 b,2005,HATS-69
K2-55,2005,K2-55
K2-55 b,2019,HIP 71135
K2-57,2002,K2-57
K2-57 b,2002,K2-203
K2-58,2019,K2-58
K2-58 b,2019,Kepler-830
K2-58 c,2019,Kepler-801
K2-58 d,2000,HAT-P-5
K2-59,2021,K2-59
K2-59 b,2021,OGLE-TR-111
K2-59 c,2021,Kepler-75
K2-6,2007,K2-6
K2-6 b,2007,HATS-7
K2-60,2007,K2-60
K2-60 b,2014,HAT-P-19
K2-61,2018,K2-61
K2-61 b,2018,K2-171
K2-62,2016,K2-62
K2-62 b,2016,K2-204
K2-62 c,2012,HAT-P-50
K2-63,2014,K2-63
K2-63 b,2014,K2-334
K2-63 c,2022,Kepler-815
K2-64,2022,K2-64
K2-64 b,2022,K2-205
K2-65,2011,K2-65
K2-65 b,2011,K2-273
K2-66,2016,K2-66
K2-66 b,2016,K2-242
K2-68,2020,K2-68
K2-68 b,2020,K2-243
K2-69,2008,K2-69
K2-69 b,2008,HAT-P-2
K2-7,2008,K2-7
K2-7 b,2008,HIP 107772
K2-70,2023,K2-70
K2-70 b,2023,POTS-1
K2-71,2022,K2-71
K2-71 b,2022,K2-60
K2-72,2022,K2-72
K2-72 b,2022,K2-86
K2-72 c,2006,HIP 107773
K2-72 d,2022,K2-274
K2-72 e,2020,TOI-733
K2-73,2020,K2-73
K2-73 b,2020,OGLE-2014-BLG-0676L
K2-74,2020,K2-74
K2-74 b,2023,HD 103720
K2-75,2005,K2-75
K2-75 b,2005,K2-374
K2-75 c,2009,eps CrB
K2-77,2021,K2-77
K2-77 b,2021,KOI-4777
K2-79,2021,K2-79
K2-79 b,2021,KMT-2021-BLG-1105L
K2-8,2019,K2-8
K2-8 b,2019,Kepler-755
K2-8 c,2022,HIP 74890
K2-80,2003,K2-80
K2-80 b,2003,eps Eri
K2-80 c,2003,HATS-26
K2-80 d,2013,HD 108236
K2-81,2012,K2-81
K2-81 b,2012,K2-206
K2-83,2005,K2-83
K2-83 b,2005,K2-368
K2-83 c,2021,HATS-70
K2-84,2015,K2-84
K2-84 b,2015,K2-102
K2-84 c,2015,K2-172
K2-85,2009,K2-85
K2-85 b,2009,HATS-71
K2-86,2016,K2-86
K2-86 b,2016,K2-275
K2-87,2023,K2-87
K2-87 b,2023,KELT-16
K2-88,2001,K2-88
K2-88 b,2001,HD 108341
K2-89,2001,K2-89
K2-89 b,2021,K2-394
K2-9,2022,K2-9
K2-9 b,2022,K2-104
K2-90,2006,K2-90
K2-90 b,2006,KMT-2019-BLG-1953L
K2-90 c,2006,Kepler-859
K2-91,2006,K2-91
K2-91 b,2006,Kepler-752
K2-95,2007,K2-95
K2-95 b,2007,K2-207
K2-97,2003,K2-97
K2-97 b,2003,K2-137
K2-98,2011,K2-98
K2-98 b,2011,Kepler-102
K2-99,2018,K2-99
K2-99 b,2018,HATS-72
kap And,2016,kap And
kap And b,2016,HATS-51
kap CrB,2016,kap CrB
kap CrB b,2016,EPIC 206024342
Kapteyn,2019,Kapteyn
Kapteyn c,2019,Kepler-748
KELT-1,2002,KELT-1
KELT-1 b,2002,HIP 75092
KELT-10,2002,KELT-10
KELT-10 b,2022,K2-61
KELT-11,2016,KELT-11
KELT-11 b,2016,K2-208
KELT-12,2023,KELT-12
KELT-12 b,2023,K2-419 A
KELT-14,2008,KELT-14
KELT-14 b,2008,K2-138
KELT-15,2008,KELT-15
KELT-15 b,2022,K2-209
KELT-16,2024,KELT-16
KELT-16 b,2024,LHS 1478
KELT-17,2024,KELT-17
KELT-17 b,2025,HATS-74 A
KELT-18,2024,KELT-18
KELT-18 b,2025,HIP 77900
KELT-19,2002,KELT-19 A
KELT-19 A b,2002,K2-105
KELT-2,2002,KELT-2 A
KELT-2 A b,2005,HIP 109384
KELT-20,2008,KELT-20
KELT-20 b,2008,HAT-P-51
KELT-21,2022,KELT-21
KELT-21 b,2022,MOA-2010-BLG-477L
KELT-23,2022,KELT-23 A
KELT-23 A b,2022,RR Cae
KELT-24,2003,KELT-24
KELT-24 b,2003,HATS-75
KELT-3,2003,KELT-3
KELT-3 b,2003,K2-335
KELT-4,2011,KELT-4 A
KELT-4 A b,2011,K2-276
KELT-6,2023,KELT-6
KELT-6 b,2023,Kepler-717
KELT-6 c,2023,GJ 3942
KELT-7,1999,KELT-7
KELT-7 b,1999,eps Ind A
KELT-8,2023,KELT-8
KELT-8 b,2023,K2-21
KELT-9,2014,KELT-9
KELT-9 b,2014,HAT-P-20
Kepler-10,2016,Kepler-10
Kepler-10 b,2016,HIP 12961
Kepler-10 c,2021,HD 100546
Kepler-10 d,2024,K2-64
Kepler-100,2010,Kepler-100
Kepler-100 b,2010,K2-91
Kepler-100 c,2019,K2-65
Kepler-100 d,2009,HD 109988
Kepler-100 e,2023,K2-398
Kepler-1000,2023,Kepler-1000
Kepler-1000 b,2023,OGLE-2017-BLG-1375L
Kepler-1001,2023,Kepler-1001
Kepler-1001 b,2023,OGLE-2018-BLG-0298L
Kepler-1001 c,2016,K2-284
Kepler-1002,2021,Kepler-1002
Kepler-1002 b,2021,GJ 414 A
Kepler-1003,2021,Kepler-1003
Kepler-1003 b,2021,HD 307842
Kepler-1004,2013,Kepler-1004
Kepler-1004 b,2013,HAT-P-58
Kepler-1005,2022,Kepler-1005
Kepler-1005 b,2022,KMT-2022-BLG-0303L
Kepler-1006,2022,Kepler-1006
Kepler-1006 b,2022,K2-66
Kepler-1007,2023,Kepler-1007
Kepler-1007 b,2023,Kepler-805
Kepler-1008,2023,Kepler-1008
Kepler-1008 b,2023,Kepler-996
Kepler-1009,2021,Kepler-1009
Kepler-1009 b,2021,OGLE-2019-BLG-0299L
Kepler-101,2021,Kepler-101
Kepler-101 b,2021,MOA-2016-BLG-227L
Kepler-101 c,2014,K2-68
Kepler-1010,2023,Kepler-1010
Kepler-1010 b,2023,K2-43
Kepler-1011,2023,Kepler-1011
Kepler-1011 b,2023,TOI-6002
Kepler-1012,2006,Kepler-1012
Kepler-1012 b,2006,KELT-24
Kepler-1013,2016,Kepler-1013
Kepler-1013 b,2016,K2-341
Kepler-1014,2019,Kepler-1014
Kepler-1014 b,2019,K2-11
Kepler-1015,1999,Kepler-1015
Kepler-1015 b,1999,K2-246
Kepler-1016,2019,Kepler-1016
Kepler-1016 b,2019,TYC 0434-04538-1
Kepler-1016 c,2019,WASP-160 B
Kepler-1017,2019,Kepler-1017
Kepler-1017 b,2019,TOI-757
Kepler-1018,2008,Kepler-1018
Kepler-1018 b,2008,K2-147
Kepler-1019,2008,Kepler-1019
Kepler-1019 b,2008,K2-148
Kepler-102,2008,Kepler-102
Kepler-102 b,2008,K2-149
Kepler-102 c,2010,HIP 90988
Kepler-102 d,2024,HATS-31
Kepler-102 e,2011,K2-217
Kepler-102 f,2011,K2-177
Kepler-1020,2018,Kepler-1020
Kepler-1020 b,2018,K2-247
Kepler-1021,2024,Kepler-1021
Kepler-1021 b,2024,Kepler-562
Kepler-1022,2024,Kepler-1022
Kepler-1022 b,2024,K2-69
Kepler-1023,2015,Kepler-1023
Kepler-1023 b,2015,Kepler-803
Kepler-1024,2016,Kepler-1024
Kepler-1024 b,2016,Kepler-800
Kepler-1025,2016,Kepler-1025
Kepler-1025 b,2016,WASP-123
Kepler-1026,2016,Kepler-1026
Kepler-1026 b,2016,HAT-P-59
Kepler-324,2016,Kepler-324
Kepler-561,2016,Kepler-561
Kepler-561 c,2016,55 Cnc
Kepler-562,2017,Kepler-562
Kepler-562 b,2017,Kepler-839
Kepler-563,2017,Kepler-563
Kepler-563 b,2017,CD Cet
Kepler-564,2017,Kepler-564
Kepler-564 b,2017,Kepler-709
Kepler-565,2015,Kepler-565
Kepler-565 b,2015,Kepler-646
Kepler-566,2017,Kepler-566
Kepler-566 b,2017,OGLE-2013-BLG-1761L
Kepler-567,2017,Kepler-567
Kepler-567 b,2017,2MASS J12073346-3932539
Kepler-568,2017,Kepler-568
Kepler-568 b,2020,KMT-2016-BLG-1836L
Kepler-569,2017,Kepler-569
Kepler-569 b,2017,K2-47
Kepler-57,2017,Kepler-57
Kepler-57 b,2017,Kepler-569
Kepler-57 c,2017,KELT-20
Kepler-570,2017,Kepler-570
Kepler-570 b,2017,HIP 14810
Kepler-571,2017,Kepler-571
Kepler-571 b,2017,WASP-104
Kepler-572,2017,Kepler-572
Kepler-572 b,2017,USco1621 A
Kepler-573,2017,Kepler-573
Kepler-573 b,2017,OGLE-2017-BLG-0604L
Kepler-574,2017,Kepler-574
Kepler-574 b,2017,OGLE-2017-BLG-1434L
Kepler-575,2015,Kepler-575
Kepler-575 b,2015,ome Ser
Kepler-576,2017,Kepler-576
Kepler-576 b,2017,Kepler-647
Kepler-577,2017,Kepler-577
Kepler-577 b,2017,HATS-61
Kepler-578,2017,Kepler-578
Kepler-578 b,2017,MOA-2013-BLG-605L
Kepler-579,2017,Kepler-579
Kepler-579 b,2017,KOI-7913 A
Kepler-58,2017,Kepler-58
Kepler-58 b,2017,TOI-663
Kepler-58 c,2017,WASP-142
Kepler-58 d,2017,Kepler-627
Kepler-58 e,2017,GJ 900 A
Kepler-580,2017,Kepler-580
Kepler-580 b,2017,HD 105618
Kepler-581,2015,Kepler-581
Kepler-581 b,2015,Wolf 503
Kepler-582,2017,Kepler-582
Kepler-582 b,2017,HATS-14
Kepler-583,2017,Kepler-583
Kepler-583 b,2017,CI Tau
Kepler-584,2017,Kepler-584
Kepler-584 b,2017,CoRoT-7
Kepler-585,2017,Kepler-585
Kepler-585 b,2017,HAT-P-31
Kepler-586,2017,Kepler-586
Kepler-586 b,2017,DS Tuc A
Kepler-587,2017,Kepler-587
Kepler-587 b,2017,WASP-120
Kepler-588,2017,Kepler-588
Kepler-588 b,2019,BD+20 2457
Kepler-589,2017,Kepler-589
Kepler-589 b,2017,HD 10697
Kepler-589 c,2017,KMT-2022-BLG-0371L
Kepler-59,2017,Kepler-59
Kepler-59 b,2017,eps CrB
Kepler-59 c,2017,HIP 21152
Kepler-590,2017,Kepler-590
Kepler-590 b,2017,GJ 27.1
Kepler-591,2017,Kepler-591
Kepler-591 b,2017,TOI-1301
Kepler-592,2017,Kepler-592
Kepler-592 b,2017,SPECULOOS-3
Kepler-593,2017,Kepler-593
Kepler-593 b,2017,KIC 3558849
Kepler-594,2017,Kepler-594
Kepler-594 b,2017,KOI-7368
Kepler-595,2017,Kepler-595
Kepler-595 b,2021,KMT-2021-BLG-1898L
Kepler-595 c,2017,Kepler-61
Kepler-596,2015,Kepler-596
Kepler-596 b,2015,Kepler-734
Kepler-597,2017,Kepler-597
Kepler-597 b,2017,HATS-39
Kepler-598,2018,Kepler-598
Kepler-598 b,2018,GJ 273
Kepler-598 c,2018,Kepler-657
Kepler-599,2018,Kepler-599
Kepler-599 b,2018,V1298 Tau
Kepler-6,2018,Kepler-6
Kepler-6 b,2019,TOI-6086
Kepler-60,2018,Kepler-60
Kepler-60 b,2018,GJ 3998
Kepler-60 c,2018,HAT-P-37
Kepler-60 d,2018,BD+20 274
Kepler-600,2018,Kepler-600
Kepler-600 b,2018,CoRoT-31
Kepler-601,2018,Kepler-601
Kepler-601 b,2018,CoRoT-35
Kepler-602,2015,Kepler-602
Kepler-602 b,2015,OGLE-2019-BLG-0304L
Kepler-603,2018,Kepler-603
Kepler-603 b,2018,WASP-124
Kepler-603 c,2018,GJ 3341
Kepler-603 d,2018,TOI-132
Kepler-604,2018,Kepler-604
Kepler-604 b,2018,WASP-126
Kepler-605,2018,Kepler-605
Kepler-605 b,2018,WASP-133
Kepler-605 c,2018,UKIRT-2017-BLG-001L
Kepler-606,2018,Kepler-606
Kepler-606 b,2018,47 UMa
Kepler-607,2018,Kepler-607
Kepler-607 b,2018,OGLE-2012-BLG-0724L
Kepler-607 c,2018,Wendelstein-1
Kepler-608,2018,Kepler-608
Kepler-608 b,2018,HD 100655
Kepler-609,2018,Kepler-609
Kepler-609 b,2018,HD 108874
Kepler-61,2018,Kepler-61
Kepler-61 b,2018,NGTS-8
Kepler-610,2018,Kepler-610
Kepler-610 b,2018,HAT-P-68
Kepler-610 c,2018,TOI-1442
Kepler-611,2019,Kepler-611
Kepler-611 b,2015,WASP-113
Kepler-612,2019,Kepler-612
Kepler-612 b,2015,OGLE-2017-BLG-0640L
Kepler-613,2018,Kepler-613
Kepler-613 b,2018,KMT-2019-BLG-1339L
Kepler-614,2018,Kepler-614
Kepler-614 b,2018,Kepler-683
Kepler-615,2018,Kepler-615
Kepler-615 b,2018,GJ 680
Kepler-616,2018,Kepler-616
Kepler-616 b,2018,OGLE-2019-BLG-1180L
Kepler-616 c,2018,KMT-2018-BLG-1025L
Kepler-616 d,2018,HAT-P-8
Kepler-617,2018,Kepler-617
Kepler-617 b,2018,FU Tau
Kepler-618,2018,Kepler-618
Kepler-618 b,2018,NGTS-6
Kepler-619,2019,Kepler-619
Kepler-619 b,2018,TOI-6130
Kepler-619 c,2018,TIC 241249530
Kepler-619 d,2018,11 UMi
Kepler-62,2018,Kepler-62
Kepler-62 b,2018,HAT-P-9
Kepler-62 c,2015,TOI-5398
Kepler-62 d,2018,GJ 9827
Kepler-62 e,2018,42 Dra
Kepler-62 f,2018,NGTS-1
Kepler-620,2018,Kepler-620
Kepler-620 b,2018,CoRoT-20
Kepler-621,2018,Kepler-621
Kepler-621 b,2018,KMT-2019-BLG-0297L
Kepler-622,2018,Kepler-622
Kepler-622 b,2018,DP Leo
Kepler-623,2018,Kepler-623
Kepler-623 b,2018,OGLE-2012-BLG-0838L
Kepler-624,2018,Kepler-624
Kepler-624 b,2018,WASP-100
Kepler-625,2018,Kepler-625
Kepler-625 b,2018,GJ 3293
Kepler-625 c,2018,TOI-913
Kepler-626,2018,Kepler-626
Kepler-626 b,2018,Kepler-844
Kepler-627,2018,Kepler-627
Kepler-627 b,2018,OGLE-2018-BLG-0532L
Kepler-629,2015,Kepler-629
Kepler-629 b,2015,Teegarden's Star
Kepler-63,2015,Kepler-63
Kepler-63 b,2017,NGTS-33
Kepler-630,2018,Kepler-630
Kepler-630 b,2018,OGLE-2019-BLG-1470L A
Kepler-631,2018,Kepler-631
Kepler-631 b,2018,M62H
Kepler-632,2018,Kepler-632
Kepler-632 b,2018,MWC 758
Kepler-633,2018,Kepler-633
Kepler-633 b,2018,HD 100777
Kepler-633 c,2018,TOI-1279
Kepler-634,2018,Kepler-634
Kepler-634 b,2018,TOI-128
Kepler-635,2018,Kepler-635
Kepler-635 b,2018,GJ 414 A
Kepler-636,2018,Kepler-636
Kepler-636 b,2018,HATS-64
Kepler-637,2018,Kepler-637
Kepler-637 b,2018,SR 12 AB
Kepler-638,2018,Kepler-638
Kepler-638 b,2018,KMT-2019-BLG-1367L
Kepler-639,2018,Kepler-639
Kepler-639 b,2018,HATS-42
Kepler-640,2018,Kepler-640
Kepler-640 b,2018,GPX-1
Kepler-641,2018,Kepler-641
Kepler-641 b,2018,rho CrB
Kepler-642,2018,Kepler-642
Kepler-642 b,2018,Wendelstein-2
Kepler-643,2018,Kepler-643
Kepler-643 b,2018,HAT-P-25
Kepler-644,2018,Kepler-644
Kepler-644 b,2018,MOA-2008-BLG-310L
Kepler-645,2018,Kepler-645
Kepler-645 b,2018,GJ 15 A
Kepler-646,2018,Kepler-646
Kepler-646 b,2018,OGLE-2018-BLG-0740L
Kepler-647,2015,Kepler-647
Kepler-647 b,2015,Kepler-658
Kepler-647 c,2015,Kepler-78
Kepler-648,2015,Kepler-648
Kepler-648 b,2016,HATS-74 A
