Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Orbital Period [days],Planetary Type,Gravity Strength,Has Biosphere,Star Name
HR 858 d,12.9,6.56,15732.45889,Ice Giant,High,0,HR 858
HR 8799 b,13.4,58.56,2751.53433,Chthonian Planet,Low,1,HR 8799
HR 8799 c,2.42,17.5,5.77152,Gas Giant,High,0,HR 8799
HR 8799 d,2.23,70.21,13.5052,Gas Giant,High,0,HR 8799
HR 8799 e,13.4,76.51,44.236,Ice Giant,High,0,HR 8799
HS Psc b,12.7,87.53,1008,Gas Giant,High,0,HS Psc
HU Aqr AB b,4.94,45.18,86.58,Gas Giant,High,0,HU Aqr
HU Aqr AB c,13.7,105.14,528.4,Ice Giant,High,0,HU Aqr
IC 4651 9122 b,13.7,24.07,676.6,Ice Giant,High,0,IC 4651 9122
iot Dra b,1.42,13.74,6.98152703,Chthonian Planet,Low,1,iot Dra
iot Dra c,1.48,31.54,3.65691115,Ice Giant,High,0,iot Dra
IRAS 04125+2902 b,12.8,106.51,116.596,Proto Planet,Low,1,TOI-6963
ITG 15 b,13.3,38.04,491.54,Proto Planet,Low,1,ITG 15
K2-10 b,13.9,103.99,1027,Gas Giant,High,0,K2-10
K2-100 b,13.7,60.58,328.55,Proto Planet,Low,1,K2-100
K2-101 b,12.8,7.8,5062,Chthonian Planet,Low,1,K2-101
K2-102 b,13.6,111.27,331.5,Proto Planet,Low,1,K2-102
K2-104 b,8.295,65.42,2.87589,Proto Planet,Low,1,K2-104
K2-105 b,13.6,15.21,4.07182,Proto Planet,Low,1,K2-105
K2-107 b,12.3,24,16521.52778,Chthonian Planet,Low,1,K2-107
K2-108 b,13.3,120.42,562,Proto Planet,Low,1,K2-108
K2-11 b,13.2,8.74,428.5,Dwarf Planet,Low,1,K2-11
K2-110 b,13.3,68.34,5894,Garden World,Medium,1,K2-110
K2-111 b,6.94,90.27,21.89288,Dwarf Planet,Low,1,K2-111
K2-111 c,12.8,14.67,18144.76236,Ice Giant,High,0,K2-111
K2-113 b,13.2,41.24,2918.92,Chthonian Planet,Low,1,K2-113
K2-114 b,13.4,67.12,686.5,Proto Planet,Low,1,K2-114
K2-115 b,3.41,44.01,11.6264,Proto Planet,Low,1,K2-115
K2-116 b,5.83,9.41,24.38,Dwarf Planet,Low,1,K2-116
K2-117 b,1.64,103.17,4.75615,Ice Giant,High,0,K2-117
K2-117 c,2.39,40.25,17.1784,Chthonian Planet,Low,1,K2-117
K2-118 b,4.77,121.43,7.29903,Garden World,Medium,1,K2-118
K2-119 b,4.36,101.26,15.27018,Gas Giant,High,0,K2-119
K2-12 b,11.9,1.61,40654.64809,Garden World,Medium,1,K2-12
K2-121 b,13.2,70.94,499.39999,Proto Planet,Low,1,K2-121
K2-122 b,2.46,8.82,18.56,Gas Giant,High,0,K2-122
K2-123 b,13.7,39.19,3341.55884,Garden World,Medium,1,K2-123
K2-124 b,12.5,57.32,5163,Gas Giant,High,0,K2-124
K2-125 b,12.8,119.17,163.94,Ice Giant,High,0,K2-125
K2-126 b,13.3,37.78,408.60001,Dwarf Planet,Low,1,K2-126
K2-127 b,13.2,61.87,3452,Proto Planet,Low,1,K2-127
K2-128 b,14,36.03,352.65,Ice Giant,High,0,K2-128
K2-129 b,13.8,53.43,194.3,Garden World,Medium,1,K2-129
K2-13 b,13.9,28.28,391.9,Gas Giant,High,0,K2-13
K2-130 b,2.67,18.67,1.87567,Gas Giant,High,0,K2-130
K2-131 b,12.8,121.16,17202.19446,Proto Planet,Low,1,K2-131
K2-132 b,4.12,120.77,21.85849,Chthonian Planet,Low,1,K2-132
K2-133 b,12.8,37.17,7841.5839,Garden World,Medium,1,K2-133
K2-133 c,12.5,98.06,133.40355,Ice Giant,High,0,K2-133
K2-133 d,12.5,92.05,4818.25358,Gas Giant,High,0,K2-133
K2-133 e,14,39.19,842.2,Proto Planet,Low,1,K2-133
K2-136 b,1.87,103.59,4.6455,Gas Giant,High,0,K2-136
K2-136 c,6.17,68.51,811.3,Dwarf Planet,Low,1,K2-136
K2-136 d,12.4,61.17,359.51001,Gas Giant,High,0,K2-136
K2-137 b,13.5,87.5,521,Ice Giant,High,0,K2-137
K2-138 b,1.282,93.7,2.178,Chthonian Planet,Low,1,K2-138
K2-138 c,2.23,107.97,3.432,Gas Giant,High,0,K2-138
K2-138 d,2.18,90.27,5.1980814,Proto Planet,Low,1,K2-138
K2-138 e,2.34,98.6,7.951,Ice Giant,High,0,K2-138
K2-138 f,2.35,49.25,12.028,Gas Giant,High,0,K2-138
K2-138 g,12.3,33.98,820.2,Proto Planet,Low,1,K2-138
K2-139 b,2.24,61.2,10.924709,Dwarf Planet,Low,1,K2-139
K2-14 b,2.93,120.64,21.583298,Proto Planet,Low,1,K2-14
K2-140 b,13.7,98.67,12.62,Garden World,Medium,1,K2-140
K2-141 b,13.4,95.24,248.4,Proto Planet,Low,1,K2-141
K2-141 c,13.3,60.37,1184.1,Chthonian Planet,Low,1,K2-141
K2-146 b,14,98.15,351,Dwarf Planet,Low,1,K2-146
K2-146 c,13.8,7.34,577.2,Ice Giant,High,0,K2-146
K2-147 b,13,0.23,2149,Gas Giant,High,0,K2-147
K2-148 b,,65.35,645,Gas Giant,High,0,K2-148
K2-148 c,,99.14,3947,Ice Giant,High,0,K2-148
K2-148 d,3.17,1.86,9.6392,Ice Giant,High,0,K2-148
K2-149 b,,106.36,307.9,Dwarf Planet,Low,1,K2-149
K2-15 b,14.1,7.79,279.3,Gas Giant,High,0,K2-15
K2-150 b,10.9,48.23,75.523,Ice Giant,High,0,K2-150
K2-151 b,12.8,110.33,990,Chthonian Planet,Low,1,K2-151
K2-152 b,12.5,37.36,8.4282,Gas Giant,High,0,K2-152
K2-153 b,13.9,35.7,75.2203,Proto Planet,Low,1,K2-153
K2-154 b,13.3,77.15,1272,Gas Giant,High,0,K2-154
K2-154 c,5,34.7,17.24,Proto Planet,Low,1,K2-154
K2-155 b,14.3,75.85,280.17,Garden World,Medium,1,K2-155
K2-155 c,4.16,52.17,40,Dwarf Planet,Low,1,K2-155
K2-155 d,12.3,2.47,641.472,Proto Planet,Low,1,K2-155
K2-156 b,13.3,22.42,1207,Proto Planet,Low,1,K2-156
K2-157 b,3.66,23.78,75.74,Proto Planet,Low,1,K2-157
K2-158 b,1.83,83.71,12.458,Ice Giant,High,0,K2-158
K2-158 c,3.23,115.32,41.763,Ice Giant,High,0,K2-158
K2-159 b,12.1,123.2,2342.6,Ice Giant,High,0,K2-159
K2-16 b,13.2,5.5,434.5,Garden World,Medium,1,K2-16
K2-16 c,12.7,69.46,270,Dwarf Planet,Low,1,K2-16
K2-160 b,13,90.98,5144,Gas Giant,High,0,K2-160
K2-161 b,13.6,6.98,417.67,Ice Giant,High,0,K2-161
K2-162 b,13.2,3.61,1820,Ice Giant,High,0,K2-162
K2-163 b,13.9,114.55,20.6532,Gas Giant,High,0,K2-163
K2-164 b,3.05,111.13,15.1479,Gas Giant,High,0,K2-164
K2-165 b,12.6,85.41,58.11187,Garden World,Medium,1,K2-165
K2-165 c,12.2,3.95,1753.1096,Garden World,Medium,1,K2-165
K2-165 d,11.1,23.34,6.404,Ice Giant,High,0,K2-165
K2-166 b,12.7,28.84,14773.93272,Dwarf Planet,Low,1,K2-166
K2-167 b,12.5,63.81,533,Gas Giant,High,0,K2-167
K2-168 b,12.4,95.9,10256,Gas Giant,High,0,K2-168
K2-169 b,13.1,92.83,0,Dwarf Planet,Low,1,K2-169
K2-17 b,13.2,86.68,225.67372,Dwarf Planet,Low,1,K2-17
K2-170 b,12.6,88.21,1818.82339,Proto Planet,Low,1,K2-170
K2-170 c,14.1,86.51,1145,Gas Giant,High,0,K2-170
K2-171 b,12.5,32.24,359.89999,Dwarf Planet,Low,1,K2-171
K2-172 b,13.2,87.21,550,Dwarf Planet,Low,1,K2-172
K2-172 c,12.5,78.78,1532,Gas Giant,High,0,K2-172
K2-173 b,12.33,3.68,21.21663,Garden World,Medium,1,K2-173
K2-174 b,13.4,34.81,322.03,Dwarf Planet,Low,1,K2-174
K2-175 b,13,91.38,582,Ice Giant,High,0,K2-175
K2-176 b,12.3,68.73,1175,Gas Giant,High,0,K2-176
K2-177 b,14.1,23.62,298.43,Proto Planet,Low,1,K2-177
K2-178 b,2.94,14.65,29.01,Proto Planet,Low,1,K2-178
K2-179 b,13.9,2.74,623.8,Garden World,Medium,1,K2-179
K2-18 b,2.26,3.04,6.4898,Ice Giant,High,0,K2-18
K2-18 c,2.98,10.06,16.8191,Chthonian Planet,Low,1,K2-18
K2-180 b,4,71.6,44.505,Ice Giant,High,0,K2-180
K2-181 b,13.5,99.93,410.10001,Garden World,Medium,1,K2-181
K2-182 b,7.87,113.51,110.9,Gas Giant,High,0,K2-182
K2-183 b,12.6,68.64,71.484,Dwarf Planet,Low,1,K2-183
K2-183 c,5.48,44.82,14.479,Ice Giant,High,0,K2-183
K2-183 d,13.9,20.9,3.092514,Dwarf Planet,Low,1,K2-183
K2-184 b,13.3,110.88,213.72,Ice Giant,High,0,K2-184
K2-185 b,13.1,78.51,2278,Gas Giant,High,0,K2-185
K2-185 c,12,104.3,394.73,Ice Giant,High,0,K2-185
K2-186 b,3.53,5.84,105.911,Chthonian Planet,Low,1,K2-186
K2-187 b,13.5,10.45,510.9,Ice Giant,High,0,K2-187
K2-187 c,12.5,91.18,7593.40512,Gas Giant,High,0,K2-187
K2-187 d,13.2,72.03,564.1,Dwarf Planet,Low,1,K2-187
K2-187 e,3.28,27.27,10.2851,Gas Giant,High,0,K2-187
K2-188 b,12.5,70.74,28982.41764,Proto Planet,Low,1,K2-188
K2-188 c,2.4,1.03,9.3743,Gas Giant,High,0,K2-188
K2-189 b,14.1,8.11,962,Garden World,Medium,1,K2-189
K2-189 c,14.2,14.25,2172,Dwarf Planet,Low,1,K2-189
K2-19 b,14,26.88,956,Dwarf Planet,Low,1,K2-19
K2-19 c,13.1,74.3,624.87404,Gas Giant,High,0,K2-19
K2-19 d,12.5,112.92,4667.97841,Ice Giant,High,0,K2-19
K2-190 b,3.49,55.45,17.471291,Proto Planet,Low,1,K2-190
K2-190 c,12.1,88.27,286.6,Chthonian Planet,Low,1,K2-190
K2-191 b,11.8,2.5,484.3,Dwarf Planet,Low,1,K2-191
K2-192 b,14.3,32.5,836.4,Ice Giant,High,0,K2-192
K2-193 b,12.1,34.17,803,Ice Giant,High,0,K2-193
K2-194 b,13.8,95.44,6.83776,Ice Giant,High,0,K2-194
K2-195 b,13.6,56.78,4060,Proto Planet,Low,1,K2-195
K2-195 c,2.6,63.26,4.1374354,Garden World,Medium,1,K2-195
K2-196 b,13.9,120.65,1019.74,Dwarf Planet,Low,1,K2-196
K2-197 b,14.2,38.3,3.0965828,Proto Planet,Low,1,K2-197
K2-198 b,13.4,58.33,3810,Dwarf Planet,Low,1,K2-198
K2-198 c,13.1,19.43,766,Ice Giant,High,0,K2-198
K2-198 d,13.6,19.64,461.2,Ice Giant,High,0,K2-198
K2-199 b,11.9,105.53,14583.81038,Chthonian Planet,Low,1,K2-199
K2-199 c,2.85,99.21,14.288,Gas Giant,High,0,K2-199
K2-200 b,2.54,37.11,33.688,Gas Giant,High,0,K2-200
K2-201 b,12.666,28.78,2.21857567,Proto Planet,Low,1,K2-201
K2-201 c,4.06,51.42,11.724128,Gas Giant,High,0,K2-201
K2-2016-BLG-0005L b,12.9,12.03,1143.59858,Garden World,Medium,1,K2-2016-BLG-0005L
K2-202 b,13.4,79.69,2854,Proto Planet,Low,1,K2-202
K2-203 b,4.59,113.8,17.111,Dwarf Planet,Low,1,K2-203
K2-204 b,13.4,88.93,1176.45,Ice Giant,High,0,K2-204
K2-205 b,13,76.67,4885,Gas Giant,High,0,K2-205
K2-206 b,12.5,29.53,1603.38923,Gas Giant,High,0,K2-206
K2-207 b,3.41,115.86,8.8803256,Ice Giant,High,0,K2-207
K2-208 b,3.195,15.02,28.579743,Ice Giant,High,0,K2-208
K2-209 b,2.995,77.88,38.353037,Gas Giant,High,0,K2-209
K2-21 b,13,79.8,101.12,Dwarf Planet,Low,1,K2-21
K2-21 c,13.4,96.56,2200,Proto Planet,Low,1,K2-21
K2-210 b,3.74,57.67,284,Proto Planet,Low,1,K2-210
K2-211 b,14.2,119.73,24.3556,Gas Giant,High,0,K2-211
K2-212 b,4.27,78.51,74.72,Dwarf Planet,Low,1,K2-212
K2-213 b,5.25,10.95,525.8,Ice Giant,High,0,K2-213
K2-214 b,13.4,42.02,340.94,Dwarf Planet,Low,1,K2-214
K2-215 b,12.4,25.04,13092.18348,Dwarf Planet,Low,1,K2-215
K2-216 b,13,80.07,18.20132,Proto Planet,Low,1,K2-216
K2-217 b,12.9,70.16,1392,Ice Giant,High,0,K2-217
K2-218 b,12.3,87.32,3638,Chthonian Planet,Low,1,K2-218
K2-219 b,12.6,31.42,402,Gas Giant,High,0,K2-219
K2-219 c,13.2,103.52,1333,Dwarf Planet,Low,1,K2-219
K2-219 d,13.9,120.08,1035.7,Dwarf Planet,Low,1,K2-219
K2-22 b,7.43,91.34,99.62167,Garden World,Medium,1,K2-22
K2-220 b,13.6,78.61,466.2,Ice Giant,High,0,K2-220
K2-221 b,3.43,87.46,11.8482,Dwarf Planet,Low,1,K2-221
K2-222 b,3.89,90.98,33.9239,Gas Giant,High,0,K2-222
K2-223 b,13.5,90.39,606.3,Proto Planet,Low,1,K2-223
K2-223 c,13.7,62.34,852.5,Dwarf Planet,Low,1,K2-223
K2-224 b,12.2,119.83,1260,Garden World,Medium,1,K2-224
K2-224 c,,101.78,517.8,Gas Giant,High,0,K2-224
K2-225 b,,16.37,946.6,Ice Giant,High,0,K2-225
K2-226 b,17.318,37.88,3.308958,Ice Giant,High,0,K2-226
K2-227 b,14.46,49.39,0,Gas Giant,High,0,K2-227
K2-228 b,1.72,96.7,0.926118,Dwarf Planet,Low,1,K2-228
K2-229 b,13.1,88.46,512.5352,Proto Planet,Low,1,K2-229
K2-229 c,12.6,62.58,2481.07227,Proto Planet,Low,1,K2-229
K2-230 b,12.7,41.47,1120,Gas Giant,High,0,K2-230
K2-231 b,12.9,93.65,2041.11539,Dwarf Planet,Low,1,K2-231
K2-232 b,4.31,0.96,34.95875,Gas Giant,High,0,K2-232
K2-233 b,12.2,42.82,7325.64666,Garden World,Medium,1,K2-233
K2-233 c,10.1,102.74,1733,Gas Giant,High,0,K2-233
K2-233 d,13.9,123.23,25.33798,Garden World,Medium,1,K2-233
K2-237 b,13.6,22.91,279.8,Dwarf Planet,Low,1,K2-237
K2-238 b,6.47,58.72,96.045,Ice Giant,High,0,K2-238
K2-239 b,13.4,68.22,673.2,Garden World,Medium,1,K2-239
K2-239 c,14.011,38.31,9350,Chthonian Planet,Low,1,K2-239
K2-239 d,16.365,5.74,2090,Dwarf Planet,Low,1,K2-239
K2-24 b,2.25,2.72,6.441008,Dwarf Planet,Low,1,K2-24
K2-24 c,1.21,1.11,5.3135,Garden World,Medium,1,K2-24
K2-240 b,2.17,30.91,13.8905,Dwarf Planet,Low,1,K2-240
K2-240 c,3.25,17.56,29.158,Chthonian Planet,Low,1,K2-240
K2-241 b,3.83,20.82,85.5073,Dwarf Planet,Low,1,K2-241
K2-242 b,13.6,29.52,597.0643,Proto Planet,Low,1,K2-242
K2-243 b,14.2,104.11,160.07,Dwarf Planet,Low,1,K2-243
K2-243 c,14,26.28,1155.7,Ice Giant,High,0,K2-243
K2-244 b,2.343,105.1,16.20166,Dwarf Planet,Low,1,K2-244
K2-245 b,1.45,67.4,18.314,Proto Planet,Low,1,K2-245
K2-246 b,2.04,62.1,89.68,Gas Giant,High,0,K2-246
K2-247 b,2.03,30.43,147.02,Proto Planet,Low,1,K2-247
K2-247 c,2.28,32.03,647.6,Gas Giant,High,0,K2-247
K2-248 b,14.2,21.36,130.08,Dwarf Planet,Low,1,K2-248
K2-249 b,12.5,48.33,875.5,Dwarf Planet,Low,1,K2-249
K2-25 b,13.7,77.67,380.85001,Dwarf Planet,Low,1,K2-25
K2-250 b,13.7,101.92,358.27,Gas Giant,High,0,K2-250
K2-251 b,15.581,119.23,3.52474859,Dwarf Planet,Low,1,K2-251
K2-252 b,14.3,99.55,649.918,Garden World,Medium,1,K2-252
K2-253 b,13.6,70.04,442.19,Garden World,Medium,1,K2-253
K2-254 b,13.6,85.77,355.5,Ice Giant,High,0,K2-254
K2-254 c,12.8,120.52,223.8,Chthonian Planet,Low,1,K2-254
K2-255 b,14,71.86,1558,Dwarf Planet,Low,1,K2-255
K2-257 b,3.66,44.73,25.201,Garden World,Medium,1,K2-257
K2-258 b,14.2,80.04,2.24571,Gas Giant,High,0,K2-258
K2-259 b,13.3,119.18,380.7,Gas Giant,High,0,K2-259
K2-26 b,12.8,24.64,882.70001,Dwarf Planet,Low,1,K2-26
K2-260 b,13.1,108.2,17000,Ice Giant,High,0,K2-260
K2-261 b,2.99,79.25,11.12214,Ice Giant,High,0,K2-261
K2-263 b,1.745,15.65,1.008035,Garden World,Medium,1,K2-263
K2-264 b,4.71,73.18,4.78503,Proto Planet,Low,1,K2-264
K2-264 c,9.52,90.67,84.288,Dwarf Planet,Low,1,K2-264
K2-265 b,12.1,69.7,1854.84424,Gas Giant,High,0,K2-265
K2-266 b,1.19,115.21,5.75999,Garden World,Medium,1,K2-266
K2-266 c,1.17,83.6,7.28243,Proto Planet,Low,1,K2-266
K2-266 d,1.48,105.53,10.86499,Ice Giant,High,0,K2-266
K2-266 e,1.51,23.89,25.1967,Gas Giant,High,0,K2-266
K2-268 b,2.697,111.33,25.1292,Proto Planet,Low,1,K2-268
K2-268 c,2.4,78.84,3.93404,Gas Giant,High,0,K2-268
K2-268 d,13,119.08,566,Ice Giant,High,0,K2-268
K2-268 e,13.7,81.25,1311,Ice Giant,High,0,K2-268
K2-268 f,13,53.17,1359,Dwarf Planet,Low,1,K2-268
K2-269 b,3.18,47.32,35.45,Dwarf Planet,Low,1,K2-269
K2-27 b,3.03,0.32,154.43,Gas Giant,High,0,K2-27
K2-270 b,13.8,61.48,148.60001,Gas Giant,High,0,K2-270
K2-270 c,14.1,101.41,118.45,Gas Giant,High,0,K2-270
K2-271 b,2.8,24.48,22.6786,Garden World,Medium,1,K2-271
K2-272 b,4.34,78.68,53.7357,Chthonian Planet,Low,1,K2-272
K2-273 b,13.6,98.67,7.12682,Gas Giant,High,0,K2-273
K2-274 b,13.2,57.87,4270,Proto Planet,Low,1,K2-274
K2-275 b,0.892,56.43,7.78993,Ice Giant,High,0,K2-275
K2-275 c,12.3,123.34,1301.36009,Garden World,Medium,1,K2-275
K2-276 b,2.61,83.91,2.52221,Proto Planet,Low,1,K2-276
K2-277 b,14.2,69.2,2560.19774,Dwarf Planet,Low,1,K2-277
K2-278 b,9.32,41.86,225.7,Proto Planet,Low,1,K2-278
K2-279 b,12.5,9.8,5478.68861,Ice Giant,High,0,K2-279
K2-28 b,1.602,100.23,3.092926,Gas Giant,High,0,K2-28
K2-280 b,1.511,88.54,6.76458,Ice Giant,High,0,K2-280
K2-281 b,1.61,89.63,46.859,Chthonian Planet,Low,1,K2-281
K2-282 b,1.31,100.83,22.717,Gas Giant,High,0,K2-282
K2-283 b,3.28,20.2,94.2,Chthonian Planet,Low,1,K2-283
K2-284 b,12.7,55.96,2247,Gas Giant,High,0,K2-284
K2-285 b,14,121.52,275.5,Ice Giant,High,0,K2-285
K2-285 c,13.8,74.65,2093.3,Gas Giant,High,0,K2-285
K2-285 d,4.24,17.59,6.04345,Gas Giant,High,0,K2-285
K2-285 e,4.59,105.32,3.83483,Dwarf Planet,Low,1,K2-285
K2-286 b,12.2,97.37,4789.87297,Proto Planet,Low,1,K2-286
K2-287 b,12.2,54.75,672.09998,Ice Giant,High,0,K2-287
K2-288 B b,9.32,104.35,1728,Ice Giant,High,0,K2-288
K2-289 b,13.7,96.89,2266.4,Dwarf Planet,Low,1,K2-289
K2-29 b,13.6,83.09,3724.7,Proto Planet,Low,1,K2-29
K2-290 b,13.1,61.79,218.47,Dwarf Planet,Low,1,K2-290
K2-290 c,13.1,9.07,456.1,Proto Planet,Low,1,K2-290
K2-291 b,9.17,46.02,14.2767,Garden World,Medium,1,K2-291
K2-292 b,12,92.96,10066,Chthonian Planet,Low,1,K2-292
K2-293 b,13.5,49.9,1173,Proto Planet,Low,1,K2-293
K2-294 b,13.5,28.86,871,Gas Giant,High,0,K2-294
K2-295 b,13.4,83.51,3999,Gas Giant,High,0,K2-295
K2-3 b,12.8,0.28,14892,Dwarf Planet,Low,1,K2-3
K2-3 c,12.6,16.34,572.38,Gas Giant,High,0,K2-3
K2-3 d,12.7,120.32,1202.05199,Gas Giant,High,0,K2-3
K2-30 b,14,49.41,26.6904,Garden World,Medium,1,K2-30
K2-308 b,2.22,84.83,5.09071,Dwarf Planet,Low,1,K2-308
K2-31 b,13.4,31.8,872.6,Proto Planet,Low,1,K2-31
K2-312 c,12.3,96.7,528.07,Dwarf Planet,Low,1,HD 80653
K2-315 b,2.607,20.63,47.42489,Dwarf Planet,Low,1,K2-315
K2-316 b,13.2,43.11,730.59998,Dwarf Planet,Low,1,K2-316
K2-316 c,13.5,66.29,1211.17,Gas Giant,High,0,K2-316
K2-317 b,13.7,52.15,141.63,Chthonian Planet,Low,1,K2-317
K2-318 b,12.7,43.18,192,Proto Planet,Low,1,K2-318
K2-319 b,13.5,118.97,2058,Dwarf Planet,Low,1,K2-319
K2-32 b,2,123.1,17.667087,Proto Planet,Low,1,K2-32
K2-32 c,1.87,14.11,29.79749,Ice Giant,High,0,K2-32
K2-32 d,0.75,115.45,3.97664,Chthonian Planet,Low,1,K2-32
K2-32 e,0.818,74.95,7.90754,Dwarf Planet,Low,1,K2-32
K2-320 b,1.137,122.6,12.1621839,Ice Giant,High,0,K2-320
K2-321 b,2.075,52.12,7.434151,Chthonian Planet,Low,1,K2-321
K2-322 b,12.4,122.39,1535.11912,Ice Giant,High,0,K2-322
K2-323 b,2.52,102.86,13.671,Gas Giant,High,0,K2-323
K2-324 b,12.8,65.88,4100,Chthonian Planet,Low,1,K2-324
K2-325 b,12.8,52.39,501.75,Proto Planet,Low,1,K2-325
K2-326 b,12.2,64.65,745.70001,Proto Planet,Low,1,K2-326
K2-329 b,13,66.81,3668,Ice Giant,High,0,K2-329
K2-33 b,9.35,75.39,515.4,Dwarf Planet,Low,1,K2-33
K2-330 b,12.3,77.81,535.59998,Garden World,Medium,1,K2-330
K2-331 b,3.46,32.95,2.0455,Ice Giant,High,0,K2-331
K2-331 c,12.5,30.23,6134.427,Proto Planet,Low,1,K2-331
K2-332 b,13.9,122.95,1802.29,Gas Giant,High,0,K2-332
K2-333 b,2.545,50.52,7.0491423,Gas Giant,High,0,K2-333
K2-334 b,1.364,89.94,3.04405,Dwarf Planet,Low,1,K2-334
K2-335 b,13.3,70.96,457.01,Proto Planet,Low,1,K2-335
K2-336 b,6.9,77.02,41.83156,Proto Planet,Low,1,K2-336
K2-337 b,12.2,116.06,26308.65619,Dwarf Planet,Low,1,K2-337
K2-338 b,1.24,34.45,2.76953,Garden World,Medium,1,K2-338
K2-339 b,1.533,115.54,5.70588,Garden World,Medium,1,K2-339
K2-34 b,11.9,63.79,10942.29013,Dwarf Planet,Low,1,K2-34
K2-340 b,14.3,83.28,3.4442,Gas Giant,High,0,K2-340
K2-341 b,16.141,121.84,4.12688,Gas Giant,High,0,K2-341
K2-342 b,13.5,36.9,428.1,Proto Planet,Low,1,K2-342
K2-343 b,13.5,35.3,2198.14,Dwarf Planet,Low,1,K2-343
K2-343 c,14.1,44.57,18.01939,Ice Giant,High,0,K2-343
K2-344 b,8.24,21.57,36.07,Chthonian Planet,Low,1,K2-344
K2-345 b,12.7,70.49,5019.54244,Gas Giant,High,0,K2-345
K2-346 b,12.9,106.44,654.5,Dwarf Planet,Low,1,K2-346
K2-347 b,2.199,48.29,22.89104,Proto Planet,Low,1,K2-347
K2-348 b,4.23,4.38,56.00819,Chthonian Planet,Low,1,K2-348
K2-348 c,3.25,102.75,84.25999,Ice Giant,High,0,K2-348
K2-349 b,12.8,6.97,385.52775,Dwarf Planet,Low,1,K2-349
K2-35 b,12.1,121.14,17417.92079,Gas Giant,High,0,K2-35
K2-35 c,12.2,52.75,14.23283,Chthonian Planet,Low,1,K2-35
K2-350 b,13,49.74,1333,Ice Giant,High,0,K2-350
K2-350 c,12,84.47,0,Dwarf Planet,Low,1,K2-350
K2-351 b,13.8,87.03,6.0881,Dwarf Planet,Low,1,K2-351
K2-352 b,2.83,73.53,8.7836,Proto Planet,Low,1,K2-352
K2-352 c,13.5,66.17,380.2,Proto Planet,Low,1,K2-352
K2-352 d,12.9,78.43,1362.3,Dwarf Planet,Low,1,K2-352
K2-353 b,13.3,64.3,2443,Gas Giant,High,0,K2-353
K2-354 b,13.5,7.12,892.7,Gas Giant,High,0,K2-354
K2-355 b,13.9,8.97,312.08,Dwarf Planet,Low,1,K2-355
K2-356 b,12.8,54.07,20608.14049,Chthonian Planet,Low,1,K2-356
K2-357 b,12.6,3.67,2514.53422,Garden World,Medium,1,K2-357
K2-358 b,12.7,59.72,12085.45186,Garden World,Medium,1,K2-358
K2-36 b,13.6,49.64,1157,Ice Giant,High,0,K2-36
K2-36 c,14.3,61.92,1684,Ice Giant,High,0,K2-36
K2-360 c,13.5,39.93,847,Dwarf Planet,Low,1,EPIC 201595106
K2-365 b,14.1,11.95,466,Chthonian Planet,Low,1,K2-365
K2-366 b,3.22,95.87,16.5535,Ice Giant,High,0,K2-366
K2-367 b,3.85,70.11,51.2053,Ice Giant,High,0,K2-367
K2-368 b,3.46,103.1,271.6737,Ice Giant,High,0,K2-368
K2-368 c,1.67,80.68,0.959641,Dwarf Planet,Low,1,K2-368
K2-368 d,3,50.18,29.8454,Gas Giant,High,0,K2-368
K2-369 b,1.92,96.46,8.4112,Ice Giant,High,0,K2-369
K2-37 b,2.83,111.09,96.63,Gas Giant,High,0,K2-37
K2-37 c,13.2,43.81,157.35,Gas Giant,High,0,K2-37
K2-37 d,13.4,4.86,2372,Proto Planet,Low,1,K2-37
K2-370 b,14.3,82.51,3.38773,Ice Giant,High,0,K2-370
K2-371 b,13.6,1.85,621.62,Garden World,Medium,1,K2-371
K2-372 b,13.7,92.71,330,Dwarf Planet,Low,1,K2-372
K2-373 b,13.9,76.03,810.2,Chthonian Planet,Low,1,K2-373
K2-374 b,9.32,93.06,89.9,Gas Giant,High,0,K2-374
K2-374 c,9.073,29.51,18.712024,Chthonian Planet,Low,1,K2-374
K2-375 b,12.5,44.62,18.1991,Proto Planet,Low,1,K2-375
K2-376 b,12.5,22.5,388,Proto Planet,Low,1,K2-376
K2-377 b,13.4,20.29,551.40002,Ice Giant,High,0,K2-377
K2-378 b,13.5,4.58,916,Dwarf Planet,Low,1,K2-378
K2-379 b,13.9,103.49,1049,Dwarf Planet,Low,1,K2-379
K2-38 b,8.42,100.4,214.67,Gas Giant,High,0,K2-38
K2-38 c,6.07,83.58,117.87,Proto Planet,Low,1,K2-38
K2-380 b,4.26,3.65,49.175,Dwarf Planet,Low,1,K2-380
K2-381 b,6.88,72.09,676.8,Ice Giant,High,0,K2-381
K2-381 c,13.6,21.83,5700,Ice Giant,High,0,K2-381
K2-381 d,13,121.6,82.467,Gas Giant,High,0,K2-381
K2-382 b,14,54.81,273.1,Proto Planet,Low,1,K2-382
K2-383 b,12.7,56.93,490,Ice Giant,High,0,K2-383
K2-384 b,10.1,21.85,62.25,Gas Giant,High,0,K2-384
K2-384 c,14,111.17,154.378,Garden World,Medium,1,K2-384
K2-384 d,14.1,50.27,885.5,Dwarf Planet,Low,1,K2-384
K2-384 e,14,106.6,1862,Dwarf Planet,Low,1,K2-384
K2-384 f,13.2,14.12,55.01292,Proto Planet,Low,1,K2-384
